corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
motion_blur,3,baseline,10000,0.848,0.878,0.856,0.834,0.777,0.616,0.68,0.718,0.902,0.732
motion_blur,3,per_batch,10000,0.873,0.904,0.862,0.819,0.802,0.63,0.737,0.76,0.922,0.781
motion_blur,3,per_image,1000,0.84,0.91,0.84,0.84,0.77,0.61,0.71,0.73,0.94,0.75
motion_blur,4,baseline,10000,0.848,0.889,0.861,0.823,0.785,0.603,0.693,0.729,0.897,0.754
motion_blur,4,per_batch,10000,0.867,0.916,0.859,0.813,0.806,0.612,0.735,0.76,0.925,0.792
motion_blur,4,per_image,1000,0.86,0.93,0.93,0.8,0.75,0.67,0.71,0.73,0.94,0.87
motion_blur,5,baseline,10000,0.832,0.851,0.835,0.82,0.758,0.51,0.603,0.631,0.898,0.671
motion_blur,5,per_batch,10000,0.856,0.883,0.85,0.782,0.789,0.524,0.702,0.682,0.918,0.72
motion_blur,5,per_image,1000,0.8,0.84,0.87,0.78,0.78,0.58,0.71,0.67,0.91,0.78
snow,1,baseline,10000,0.902,0.937,0.782,0.742,0.877,0.806,0.938,0.897,0.917,0.937
snow,1,per_batch,10000,0.904,0.938,0.783,0.745,0.879,0.807,0.936,0.896,0.917,0.938
snow,1,per_image,1000,0.91,0.89,0.75,0.83,0.88,0.85,0.93,0.89,0.92,0.95
snow,2,baseline,10000,0.85,0.881,0.674,0.696,0.86,0.748,0.934,0.83,0.855,0.917
snow,2,per_batch,10000,0.854,0.886,0.672,0.7,0.864,0.757,0.929,0.835,0.857,0.922
snow,2,per_image,1000,0.8,0.9,0.69,0.7,0.84,0.75,0.95,0.81,0.86,0.89
snow,3,baseline,10000,0.875,0.878,0.672,0.717,0.829,0.757,0.918,0.832,0.839,0.929
snow,3,per_batch,10000,0.871,0.878,0.665,0.712,0.836,0.76,0.912,0.836,0.839,0.931
snow,3,per_image,1000,0.88,0.88,0.75,0.77,0.83,0.75,0.92,0.87,0.86,0.9
snow,4,baseline,10000,0.86,0.851,0.641,0.73,0.826,0.736,0.867,0.798,0.815,0.901
snow,4,per_batch,10000,0.859,0.851,0.638,0.723,0.83,0.747,0.865,0.801,0.817,0.902
snow,4,per_image,1000,0.82,0.87,0.6,0.62,0.87,0.8,0.92,0.8,0.86,0.89
snow,5,baseline,10000,0.803,0.8,0.608,0.753,0.825,0.721,0.879,0.755,0.803,0.892
snow,5,per_batch,10000,0.817,0.81,0.606,0.758,0.83,0.735,0.869,0.764,0.798,0.893
snow,5,per_image,1000,0.84,0.77,0.61,0.74,0.82,0.78,0.86,0.8,0.83,0.9
frost,1,baseline,10000,0.881,0.93,0.804,0.749,0.887,0.809,0.928,0.874,0.942,0.94
frost,1,per_batch,10000,0.888,0.931,0.803,0.759,0.888,0.811,0.93,0.876,0.941,0.94
frost,1,per_image,1000,0.91,0.94,0.71,0.73,0.9,0.87,0.95,0.8,0.93,0.93
frost,2,baseline,10000,0.862,0.904,0.76,0.741,0.855,0.758,0.928,0.822,0.928,0.932
frost,2,per_batch,10000,0.869,0.908,0.771,0.734,0.859,0.757,0.925,0.826,0.928,0.932
frost,2,per_image,1000,0.84,0.93,0.75,0.61,0.83,0.76,0.96,0.84,0.92,0.93
frost,3,baseline,10000,0.798,0.861,0.683,0.725,0.86,0.637,0.908,0.717,0.909,0.905
frost,3,per_batch,10000,0.815,0.869,0.709,0.721,0.853,0.649,0.906,0.726,0.906,0.902
frost,3,per_image,1000,0.81,0.93,0.75,0.69,0.86,0.69,0.83,0.82,0.96,0.94
frost,4,baseline,10000,0.803,0.842,0.685,0.72,0.846,0.611,0.934,0.691,0.888,0.896
frost,4,per_batch,10000,0.823,0.856,0.699,0.7,0.85,0.649,0.925,0.742,0.892,0.906
frost,4,per_image,1000,0.76,0.87,0.77,0.76,0.84,0.68,0.9,0.7,0.9,0.94
frost,5,baseline,10000,0.736,0.79,0.648,0.663,0.811,0.527,0.918,0.581,0.847,0.844
frost,5,per_batch,10000,0.765,0.808,0.662,0.695,0.823,0.549,0.904,0.619,0.855,0.857
frost,5,per_image,1000,0.81,0.83,0.62,0.64,0.83,0.51,0.91,0.54,0.87,0.83
fog,1,baseline,10000,0.916,0.955,0.836,0.765,0.883,0.819,0.929,0.908,0.951,0.944
fog,1,per_batch,10000,0.916,0.954,0.837,0.76,0.885,0.821,0.933,0.909,0.95,0.943
fog,1,per_image,1000,0.92,0.92,0.81,0.8,0.88,0.85,0.93,0.94,0.98,0.96
fog,2,baseline,10000,0.892,0.941,0.802,0.786,0.869,0.741,0.875,0.835,0.937,0.924
