corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
defocus_blur,3,per_batch,10000,0.911,0.942,0.843,0.804,0.877,0.778,0.892,0.877,0.938,0.926
defocus_blur,3,per_image,1000,0.92,0.95,0.84,0.84,0.85,0.76,0.89,0.92,0.94,0.88
defocus_blur,4,baseline,10000,0.898,0.929,0.852,0.807,0.847,0.733,0.828,0.843,0.931,0.914
defocus_blur,4,per_batch,10000,0.902,0.931,0.849,0.806,0.859,0.751,0.843,0.843,0.932,0.915
defocus_blur,4,per_image,1000,0.89,0.94,0.79,0.86,0.8,0.77,0.83,0.83,0.92,0.95
defocus_blur,5,baseline,10000,0.862,0.867,0.845,0.791,0.762,0.664,0.704,0.739,0.902,0.853
defocus_blur,5,per_batch,10000,0.867,0.874,0.839,0.79,0.784,0.672,0.73,0.756,0.907,0.867
defocus_blur,5,per_image,1000,0.8,0.88,0.88,0.71,0.78,0.63,0.76,0.72,0.98,0.91
glass_blur,1,baseline,10000,0.861,0.768,0.661,0.598,0.84,0.631,0.967,0.77,0.861,0.854
glass_blur,1,per_batch,10000,0.863,0.772,0.664,0.601,0.843,0.632,0.963,0.773,0.859,0.854
glass_blur,1,per_image,1000,0.87,0.8,0.62,0.55,0.88,0.64,0.97,0.75,0.87,0.83
glass_blur,2,baseline,10000,0.887,0.795,0.67,0.626,0.843,0.63,0.955,0.766,0.853,0.83
glass_blur,2,per_batch,10000,0.888,0.801,0.671,0.625,0.843,0.636,0.954,0.766,0.854,0.833
glass_blur,2,per_image,1000,0.89,0.75,0.72,0.61,0.87,0.64,0.95,0.76,0.81,0.88
glass_blur,3,baseline,10000,0.86,0.797,0.683,0.683,0.86,0.686,0.953,0.761,0.878,0.853
glass_blur,3,per_batch,10000,0.859,0.799,0.682,0.68,0.864,0.687,0.954,0.761,0.88,0.852
glass_blur,3,per_image,1000,0.88,0.8,0.64,0.67,0.87,0.8,0.97,0.76,0.84,0.86
glass_blur,4,baseline,10000,0.849,0.619,0.579,0.522,0.765,0.473,0.964,0.649,0.772,0.73
glass_blur,4,per_batch,10000,0.853,0.633,0.581,0.523,0.766,0.484,0.96,0.656,0.769,0.737
glass_blur,4,per_image,1000,0.88,0.61,0.56,0.45,0.85,0.47,0.94,0.58,0.78,0.78
glass_blur,5,baseline,10000,0.847,0.656,0.585,0.581,0.825,0.528,0.954,0.667,0.817,0.77
glass_blur,5,per_batch,10000,0.845,0.661,0.588,0.585,0.833,0.532,0.953,0.672,0.816,0.776
glass_blur,5,per_image,1000,0.81,0.76,0.55,0.5,0.81,0.6,0.96,0.6,0.84,0.78
motion_blur,1,baseline,10000,0.898,0.949,0.854,0.828,0.859,0.77,0.869,0.879,0.934,0.904
motion_blur,1,per_batch,10000,0.899,0.951,0.858,0.82,0.865,0.773,0.874,0.883,0.94,0.907
motion_blur,1,per_image,1000,0.94,0.93,0.88,0.78,0.82,0.8,0.91,0.87,0.94,0.86
motion_blur,2,baseline,10000,0.88,0.925,0.859,0.832,0.819,0.687,0.766,0.818,0.917,0.852
motion_blur,2,per_batch,10000,0.88,0.927,0.863,0.829,0.82,0.69,0.779,0.824,0.925,0.858
motion_blur,2,per_image,1000,0.88,0.92,0.92,0.85,0.83,0.65,0.77,0.83,0.92,0.83
motion_blur,3,baseline,10000,0.854,0.887,0.857,0.833,0.774,0.615,0.673,0.727,0.909,0.754
motion_blur,3,per_batch,10000,0.862,0.89,0.859,0.833,0.784,0.615,0.687,0.733,0.913,0.761
motion_blur,3,per_image,1000,0.88,0.86,0.8,0.91,0.78,0.59,0.7,0.72,0.9,0.74
motion_blur,4,baseline,10000,0.846,0.889,0.858,0.828,0.781,0.6,0.689,0.726,0.9,0.757
motion_blur,4,per_batch,10000,0.851,0.895,0.864,0.825,0.789,0.608,0.7,0.735,0.909,0.767
motion_blur,4,per_image,1000,0.85,0.84,0.88,0.83,0.87,0.55,0.68,0.8,0.95,0.75
motion_blur,5,baseline,10000,0.836,0.85,0.845,0.816,0.732,0.499,0.61,0.622,0.892,0.658
motion_blur,5,per_batch,10000,0.841,0.865,0.845,0.808,0.752,0.505,0.633,0.633,0.898,0.68
