corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
motion_blur,3,baseline,10000,0.854,0.887,0.857,0.834,0.774,0.613,0.674,0.726,0.909,0.754
motion_blur,3,per_batch,10000,0.854,0.887,0.857,0.833,0.774,0.612,0.676,0.728,0.909,0.755
motion_blur,3,per_image,1000,0.92,0.89,0.84,0.9,0.75,0.65,0.72,0.72,0.96,0.76
motion_blur,4,baseline,10000,0.847,0.887,0.86,0.827,0.779,0.599,0.686,0.724,0.898,0.756
motion_blur,4,per_batch,10000,0.847,0.889,0.86,0.827,0.78,0.598,0.689,0.724,0.899,0.758
motion_blur,4,per_image,1000,0.87,0.92,0.8,0.88,0.86,0.67,0.67,0.68,0.89,0.78
motion_blur,5,baseline,10000,0.836,0.851,0.845,0.816,0.732,0.499,0.611,0.621,0.892,0.658
motion_blur,5,per_batch,10000,0.836,0.85,0.845,0.816,0.734,0.497,0.613,0.623,0.893,0.659
motion_blur,5,per_image,1000,0.83,0.82,0.82,0.84,0.8,0.52,0.61,0.63,0.91,0.72
snow,1,baseline,10000,0.903,0.937,0.782,0.74,0.877,0.808,0.938,0.897,0.917,0.937
snow,1,per_batch,10000,0.903,0.937,0.781,0.74,0.877,0.808,0.938,0.898,0.917,0.937
snow,1,per_image,1000,0.89,0.96,0.79,0.78,0.86,0.78,0.97,0.87,0.88,0.94
snow,2,baseline,10000,0.85,0.881,0.674,0.697,0.86,0.748,0.933,0.83,0.855,0.918
snow,2,per_batch,10000,0.85,0.881,0.674,0.698,0.86,0.748,0.934,0.83,0.855,0.917
snow,2,per_image,1000,0.87,0.87,0.61,0.72,0.84,0.82,0.96,0.8,0.88,0.93
snow,3,baseline,10000,0.874,0.879,0.672,0.717,0.829,0.757,0.918,0.832,0.84,0.929
snow,3,per_batch,10000,0.874,0.879,0.672,0.716,0.829,0.757,0.918,0.832,0.84,0.929
snow,3,per_image,1000,0.88,0.84,0.65,0.7,0.89,0.75,0.87,0.86,0.84,0.87
snow,4,baseline,10000,0.86,0.85,0.641,0.73,0.826,0.735,0.867,0.798,0.815,0.901
snow,4,per_batch,10000,0.86,0.85,0.641,0.73,0.826,0.735,0.867,0.798,0.815,0.901
snow,4,per_image,1000,0.9,0.83,0.67,0.63,0.87,0.73,0.88,0.83,0.82,0.85
snow,5,baseline,10000,0.798,0.803,0.599,0.765,0.825,0.717,0.875,0.751,0.799,0.887
snow,5,per_batch,10000,0.798,0.803,0.599,0.765,0.826,0.717,0.875,0.752,0.799,0.888
snow,5,per_image,1000,0.78,0.81,0.57,0.74,0.86,0.67,0.89,0.82,0.75,0.85
frost,1,baseline,10000,0.881,0.93,0.804,0.749,0.887,0.809,0.928,0.874,0.941,0.94
frost,1,per_batch,10000,0.881,0.93,0.804,0.749,0.887,0.809,0.928,0.874,0.941,0.94
frost,1,per_image,1000,0.9,0.92,0.84,0.74,0.85,0.84,0.91,0.87,0.96,0.92
frost,2,baseline,10000,0.864,0.906,0.766,0.737,0.857,0.753,0.927,0.823,0.929,0.932
frost,2,per_batch,10000,0.864,0.906,0.767,0.738,0.857,0.753,0.927,0.823,0.929,0.932
frost,2,per_image,1000,0.86,0.89,0.82,0.79,0.89,0.78,0.93,0.86,0.93,0.93
frost,3,baseline,10000,0.804,0.862,0.696,0.713,0.85,0.633,0.918,0.712,0.907,0.897
frost,3,per_batch,10000,0.804,0.862,0.696,0.714,0.851,0.633,0.918,0.712,0.906,0.897
frost,3,per_image,1000,0.76,0.87,0.73,0.75,0.87,0.62,0.92,0.75,0.89,0.93
frost,4,baseline,10000,0.801,0.846,0.695,0.685,0.848,0.625,0.927,0.717,0.896,0.903
frost,4,per_batch,10000,0.801,0.847,0.693,0.686,0.848,0.628,0.928,0.718,0.896,0.903
frost,4,per_image,1000,0.89,0.88,0.68,0.69,0.88,0.65,0.96,0.78,0.9,0.89
frost,5,baseline,10000,0.736,0.79,0.648,0.663,0.81,0.527,0.918,0.581,0.847,0.845
frost,5,per_batch,10000,0.737,0.791,0.648,0.664,0.81,0.527,0.918,0.581,0.847,0.845
frost,5,per_image,1000,0.75,0.75,0.65,0.69,0.78,0.49,0.95,0.57,0.75,0.89
